asl_gloss,sentence
MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

CORRIGENDUM RULE DESC-204A SEE MINUTE,corrigendum rule 204a see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

DESC-ORAL QUESTION AND WRITE DECLARATION TABLE SEE MINUTE,oral questions and written declarations tabling see minutes

WRITE DECLARATION RULE 116 SEE MINUTE,written declarations rule 116 see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

PETITION SEE MINUTE,petitions see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 9.40 DESC-P.M.,the sitting was closed at 9.40 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

EC PANAMA AGREEMENT ON DESC-CERTAIN ASPECT AIR SERVICE VOTE,ec panama agreement on certain aspects of air services vote

REPORT COSTA,report costa

EC KYRGYZSTAN AGREEMENT ON DESC-CERTAIN ASPECT AIR SERVICE VOTE,ec kyrgyzstan agreement on certain aspects of air services vote

REPORT COSTA,report costa

EC JORDAN AGREEMENT ON DESC-CERTAIN ASPECT AIR SERVICE VOTE,ec jordan agreement on certain aspects of air services vote

REPORT COSTA,report costa

EC ISRAEL AGREEMENT ON DESC-SCIENTIFIC AND DESC-TECHNICAL COOPERATION VOTE,ec israel agreement on scientific and technical cooperation vote

REPORT NIEBLER,report niebler

PARTICIPATION BULGARIUM AND ROMANIUM IN EEC SAN MARINO AGREEMENT ON COOPERATION AND CUSTOM UNION VOTE,participation of bulgaria and romania in the eec san marino agreement on cooperation and customs union vote

REPORT MARKOV,report markov

DESC-NATIONAL AID GRANT BY FINLAND FOR SEED AND CEREAL SEED VOTE,national aid granted by finland for seeds and cereal seed vote

REPORT PARISH,report parish

EXCISE DUTY ON RUM VOTE,excise duty on rum vote

REPORT GALEOTE,report galeote

ROAD SAFETY PASSENGER HAND HOLD ON TWO WHEEL MOTOR VEHICLE VOTE,road safety passenger hand holds on two wheel motor vehicles vote

REPORT MAYER,report mayer

ROAD SAFETY STAND FOR TWO WHEEL MOTOR VEHICLE VOTE,road safety stands for two wheel motor vehicles vote

REPORT MAYER,report mayer

REAR REGISTRATION PLATE TWO OR THREE WHEEL MOTOR VEHICLE VOTE,rear registration plate of two or three wheel motor vehicles vote

REPORT MAYER,report mayer

APPLICATION COMPETITION RULE TO TRANSPORT BY RAIL  ROAD AND DESC-INLAND WATERWAY VOTE,application of competition rules to transport by rail  road and inland waterway vote

REPORT MAYER,report mayer

REAR VIEW MIRROR FOR WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR VOTE,rear view mirrors for wheeled agricultural or forestry tractors vote

REPORT MAYER,report mayer

ROLL OVER PROTECTION STRUCTURE WHEEL DESC-AGRICULTURAL OR FORESTRY TRACTOR VOTE,roll over protection structures of wheeled agricultural or forestry tractors vote

REPORT MAYER,report mayer

STATISTICS ON EDUCATION AND DESC-LIFELONG LEARN VOTE,statistics on education and lifelong learning vote

REPORT SIFUNAKUS,report sifunakis

DEVELOPMENT COMMUNITY X-POSS RAILWAY VOTE,development of the community's railways vote

REPORT JARZEMBOWSKUS,report jarzembowski

CERTIFICATION TRAIN DRIVER OPERATE LOCOMOTIVE AND TRAIN ON RAILWAY SYSTEM IN COMMUNITY VOTE,certification of train drivers operating locomotives and trains on the railway system in the community vote

REPORT SAVARY,report savary

RAIL PASSENGERSRIGHT AND OBLIGATION VOTE,rail passengersrights and obligations vote

REPORT STERCKX,report sterckx

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 12.35 DESC-A.M. AND RESUME AT 3.00 DESC-P.M.,the sitting was suspended at 12.35 a.m. and resumed at 3.00 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 12 MIDNIGHT,the sitting was closed at 12 midnight

EUROPEAN INSTITUTE TECHNOLOGY VOTE,european institute of technology vote

REPORT PAASILINNA,report paasilinna

SET DESC-ASIDE FOR YEAR 2008 VOTE,set aside for year 2008 vote

PROPOSAL FOR COUNCIL REGULATION SET DESC-ASIDE FOR YEAR 2008 C6 0302 2007,proposal for a council regulation set aside for year 2008 c6 0302 / 2007

DESC-DANGEROUS TOY MAKE IN CHINA VOTE,dangerous toys made in china vote

RESOLUTION,resolution

TOWARDS DESC-COMMON EUROPEAN DESC-FOREIGN POLICY ON ENERGY VOTE,towards a common european foreign policy on energy vote

REPORT SARYUSZ WOLSKUS,report saryusz wolski

POLICY PRIORITY IN FIGHT AGAINST DESC-ILLEGAL IMMIGRATION DESC-THIRD COUNTRY DESC-NATIONAL VOTE,policy priorities in the fight against illegal immigration of third country nationals vote

REPORT MORENO Sà`NCHEZ,report moreno sánchez

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 1.15 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 1.15 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT DESC-CLOSE AT 23.55,the sitting closed at 23.55

OPEN SIT,opening of the sitting

POSIEDZENIE ZOSTAŠ O OTWARTE O GODZ .,posiedzenie zostało otwarte o godz .

10.00,10.00

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

NEED FOR DESC-COMPREHENSIVE STRATEGY TO CONTROL CANCER WRITE DECLARATION SEE MINUTE,need for a comprehensive strategy to control cancer written declaration see minutes

REQUEST FOR WAIVER DESC-PARLIAMENTARY IMMUNITY SEE MINUTE,request for waiver of parliamentary immunity see minutes

AGENDA SEE MINUTE,agenda see minutes

I2010 DESC-DIGITAL LIBRARY VOTE,1. i2010 digital libraries vote

BERICHT DESCAMP,bericht descamps

EFFICIENCY AND EQUITY IN EUROPEAN EDUCATION AND TRAINING SYSTEM VOTE,efficiency and equity in european education and training systems vote

BERICHT ZATLOUKAL,bericht zatloukal

IMPLEMENTATION COUNCIL DECISION CONCERN MORATORIUM AGAINST DEATH PENALTY VOTE,implementation of the council decision concerning the moratorium against the death penalty vote

ENTSCHLIEßUNG,entschließung

OBLIGATION CROSS BORDER SERVICE PROVIDER VOTE,obligations of cross border service providers vote

BERICHT LETHINEN,bericht lethinen

DESC-EQUAL TREATMENT BETWEEN PERSON DESC-IRRESPECTIVE DESC-RACIAL OR DESC-ETHNIC ORIGIN VOTE,equal treatment between persons irrespective of racial or ethnic origin vote

BERICHT BUITENWEG,bericht buitenweg

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

WRITE DECLARATION FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written declarations for entry in the register rule 116 see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

VERIFICATION CREDENTIALS SEE MINUTE,verification of credentials see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

DY CRIMINATION AND DESC-SOCIAL EXCLUSION AFFECT CHILD WITHDY ABILITY WRITE DECLARATION SEE MINUTE,dys crimination and social exclusion affecting children withdys abilities written declaration see minutes

AGENDA SEE MINUTE,agenda see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE DECLARATION TABLE SEE MINUTE,written declarations tabling see minutes

WRITE DECLARATION RULE 116 SEE MINUTE,written declarations rule 116 see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.40 DESC-P.M.,the sitting was closed at 11.40 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

REPORT HELMUTH MARKOV,report helmuth markov

ACCESSION BULGARIUM AND ROMANIUM TO CONVENTION ON LAW DESC-APPLICABLE TO DESC-CONTRACTUAL OBLIGATION VOTE,accession of bulgaria and romania to the convention on the law applicable to contractual obligations vote

REPORT CRISTIAN DUMITRESCU,report cristian dumitrescu

COLLECTION AND MANAGEMENT DATUM ON DESC-COMMON FISHERY POLICY VOTE,collection and management of data on the common fisheries policy vote

REPORT PAULO CASACA,report paulo casaca

EC USA AIR TRANSPORT AGREEMENT VOTE,ec usa air transport agreement vote

REPORT SAà?D EL KHADRAOUUS,report saïd el khadraoui

VOTE TIME,voting time

NEXT ITEM BE VOTE .,the next item is the vote .

FOR RESULT AND DESC-OR DETAIL ON VOTE SEE MINUTE,for the results and other details on the vote see minutes

COMBATE CIGARETTE SMUGGLING EC PHILIP MORRI AGREEMENT VOTE,combating cigarette smuggling ec philip morris agreement vote

REPORT BART STA,report bart staes

AIRPORT CAPACITY AND GROUND HANDLE VOTE,airport capacity and ground handling vote

REPORT ANNE E. JENSEN,report anne e. jensen

VOTE TIME CONTINUE,voting time continued

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

MEMBERSHIP DELEGATION SEE MINUTE,membership of delegations see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

DESC-ORAL QUESTION AND WRITE DECLARATION TABLE SEE MINUTE,oral questions and written declarations tabling see minutes

WRITE DECLARATION RULE 116 SEE MINUTE,written declarations rule 116 see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

PETITION SEE MINUTE,petitions see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

AGENDA FOR NEXT PART SESSION SEE MINUTE,agenda for next part session see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11 DESC-P.M.,the sitting was closed at 11 p.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE DECLARATION TABLE SEE MINUTE,written declarations tabling see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

EC CHILE ASSOCIATION AGREEMENT ACCESSION BULGARIUM AND ROMANIUM VOTE,ec chile association agreement accession of bulgaria and romania vote

RECOMMENDATION HELMUTH MARKOV A6 0361 2007,recommendation helmuth markov a6 0361 2007

EC SWISS CONFEDERATION AGREEMENT ON DESC-SCIENTIFIC AND DESC-TECHNICAL COOPERATION VOTE,ec swiss confederation agreement on scientific and technical cooperation vote

REPORT ANGELIKA NIEBLER,report angelika niebler

COMMUNITY PLANT VARIETY RIGHTS VOTE,community plant variety rights vote

REPORT NEIL PARISH A6 0373 2007,report neil parish a6 0373 2007

DESC-NUCLEAR ENERGY RATIFICATION BY SLOVENIA PROTOCOL AMEND DESC-PARI CONVENTION VOTE,nuclear energy ratification by slovenia of the protocol amending the paris convention vote

RECOMMENDATION GIUSEPPE GARGANUS A6 0369 2007,recommendation giuseppe gargani a6 0369 2007

UN ECE ESPOO CONVENTION VOTE,un / ece espoo convention vote

REPORT MIROSLAV OUZKà12 A6 0395 2007,report miroslav ouzký a6 0395 2007

CONVENTION ON PROTECTION EUROPEAN COMMUNITIESFINANCIAL INTEREST VOTE,convention on the protection of the european communitiesfinancial interests vote

REPORT JEAN MARIE CAVADA A6 0360 2007,report jean marie cavada a6 0360 2007

MOBILISATION EUROPEAN GLOBALISATION ADJUSTMENT FUND VOTE,mobilisation of the european globalisation adjustment fund vote

REPORT REIMER Bà?GE,report reimer böge

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 2.25 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.,the sitting was suspended at 2.25 p.m. and resumed at 3.05 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 12.05 DESC-A.M.,the sitting was closed at 12.05 a.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

MEMBERSHIP DESC-POLITICAL GROUP SEE MINUTE,membership of political groups see minutes

WRITE DECLARATION TABLE SEE MINUTE,written declarations tabling see minutes

STATEMENT BY PRESIDENT SEE MINUTE,statement by the president see minutes

SERVICE DESC-JUDICIAL AND EXTRAJUDICIAL DOCUMENT IN DESC-CIVIL OR DESC-COMMERCIAL MATTER VOTE,service of judicial and extrajudicial documents in civil or commercial matters vote

RECOMMENDATION FOR DESC-SECOND READING GAUZà?X-S,recommendation for second reading gauzès

AGREEMENT BETWEEN EC AND BOSNIUM AND HERZEGOVINA ON READMISSION VOTE,agreement between the ec and bosnia and herzegovina on readmission vote

REPORT FAVA,report fava

AGREEMENT BETWEEN EC AND BOSNIUM AND HERZEGOVINA ON DESC-SHORT STAY VISA VOTE,agreement between the ec and bosnia and herzegovina on short stay visas vote

REPORT FAVA,report fava

AGREEMENT BETWEEN EC AND SERBIUM ON READMISSION VOTE,agreement between the ec and serbia on readmission vote

REPORT FAVA,report fava

AGREEMENT BETWEEN EC AND SERBIUM ON DESC-SHORT STAY VISA VOTE,agreement between the ec and serbia on short stay visas vote

REPORT FAVA,report fava

AGREEMENT BETWEEN EC AND MONTENEGRO ON READMISSION VOTE,agreement between the ec and montenegro on readmission vote

REPORT V?LEAN,report vălean

AGREEMENT BETWEEN EC AND MONTENEGRO ON DESC-SHORT STAY VISA VOTE,agreement between the ec and montenegro on short stay visas vote

REPORT V?LEAN,report vălean

AGREEMENT BETWEEN EC AND DESC-FORMER YUGOSLAV REPUBLIC MACEDONIUM ON READMISSION VOTE,agreement between the ec and the former yugoslav republic of macedonia on readmission vote

REPORT V?LEAN,report vălean

AGREEMENT BETWEEN EC AND DESC-FORMER YUGOSLAV REPUBLIC MACEDONIUM ON DESC-SHORT STAY VISA VOTE,agreement between the ec and the former yugoslav republic of macedonia on short stay visas vote

REPORT V?LEAN,report vălean

AGREEMENT BETWEEN EC AND ALBANIUM ON DESC-SHORT STAY VISA VOTE,agreement between the ec and albania on short stay visas vote

REPORT V?LEAN,report vălean

MOBILISATION EU SOLIDARITY FUND VOTE,mobilisation of the eu solidarity fund vote

REPORT Bà?GE,report böge

EUROPEAN DESC-STATISTICAL GOVERNANCE DESC-ADVISORY BOARD VOTE,european statistical governance advisory board vote

REPORT BOWLE,report bowles

EUROPEAN DESC-STATISTICAL DESC-ADVISORY COUNCIL VOTE,european statistical advisory council vote

REPORT VAN DEN BURG,report van den burg

BATTERY AND ACCUMULATOR AND WASTE BATTERY AND ACCUMULATOR IMPLEMENT POWER CONFER ON COMMISSION VOTE,batteries and accumulators and waste batteries and accumulators implementing powers conferred on the commission vote

REPORT BLOKLAND,report blokland

COMMUNICATION INFRASTRUCTURE FOR SCHENGEN INFORMATION SYSTEM ENVIRONMENT REGULATION VOTE,communication infrastructure for the schengen information system environment regulation vote

REPORT COELHO,report coelho

DESC-MUTUAL ASSISTANCE AND COOPERATION BETWEEN CUSTOM ADMINISTRATION VOTE,mutual assistance and cooperation between customs administrations vote

REPORT TOMA,report toma

DESC-MATIC STRATEGY ON DESC-SUSTAINABLE USE PESTICIDE VOTE,thematic strategy on the sustainable use of pesticides vote

REPORT BELOHORSKàM,report belohorská

DESC-CONVENTIONAL ENERGY SOURCE AND ENERGY TECHNOLOGY VOTE,conventional energy sources and energy technology vote

REPORT REUL,report reul

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 14.00 AND RESUME AT 15.00,the sitting was suspended at 14.00 and resumed at 15.00

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.10 DESC-P.M.,the sitting was closed at 11.10 p.m.

OPEN SIT,opening of the sitting

SIT DESC-OPEN AT 10.00,the sitting opened at 10.00

ORIGIN MARK WRITE DECLARATION SEE MINUTE,origin marking written declaration see minutes

2008 DRAFT DESC-GENERAL BUDGET SECTION IIUS VOTE,2008 draft general budget section iii vote

VIRRANKOSKUS REPORT,virrankoski report

ITÍ,itälä report

DESC-MUTUAL RECOGNITION JUDGMENT IN DESC-CRIMINAL MATTER VOTE,mutual recognition of judgments in criminal matters vote

VARVITSIOTUS REPORT,varvitsiotis report

EC MADAGASCAR FISHERY PARTNERSHIP AGREEMENT VOTE,ec madagascar fisheries partnership agreement vote

SUDRE REPORT,sudre report

EC MOZAMBIQUE FISHERY PARTNERSHIP AGREEMENT VOTE,ec mozambique fisheries partnership agreement vote

FERNANDE REPORT,fernandes report

RISE IN FOOD PRICE VOTE,rise in food prices vote

DESC-JOINT MOTION FOR RESOLUTION,joint motion for a resolution

DESC-SPECIAL MEASURE 2007 FOR IRAQ VOTE,special measure 2007 for iraq vote

MOTION FOR RESOLUTION,motion for a resolution

CLUSTER BOMB VOTE,cluster bombs vote

MOTION FOR RESOLUTION,motion for a resolution

IMPROVE EFFICIENCY ENFORCEMENT JUDGMENT IN EU ATTACHMENT BANK ACCOUNT VOTE,improving the efficiency of the enforcement of judgments in the eu attachment of bank accounts vote

LECHNER REPORT,lechner report

EUROPEAN OMBUDSMAN X-POSS ACTIVITY IN 2006 VOTE,european ombudsman's activities in 2006 vote

SBARBATUS REPORT,sbarbati report

VOTE TIME,voting time

NEXT ITEM BE VOTE TIME .,the next item is voting time .

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS  DEMOCRACY AND RULE LAW DEBATE,debates on cases of breaches of human rights  democracy and the rule of law debate

PAKISTAN VOTE,pakistan vote

RESOLUTION PAKISTAN RC B6 0409 2007,resolution pakistan rc b6 0409 / 2007

SUDAN KILL AFRICAN UNION PEACE KEEP SOLDIER VOTE,sudan killing of african union peace keeping soldiers vote

RESOLUTION SUDAN KILL AFRICAN UNION PEACEKEEP SOLDIER RC,resolution sudan killing of african union peacekeeping soldiers rc

COMPANY LAW VOTE,company law vote

MOTION FOR RESOLUTION COMMISSION STATEMENT ON COMPANY LAW,motion for a resolution commission statement on company law

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

TABLE DEADLINE SEE MINUTE,tabling deadlines see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE DECLARATION FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written declarations for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of the session

X-I DECLARE SESSION EUROPEAN PARLIAMENT ADJOURN .,i declare the session of the european parliament adjourned .

SIT BE DESC-CLOSE AT 4.35 DESC-P.M.,the sitting was closed at 4.35 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

CALENDAR PART SESSION SEE MINUTE,calendar of part sessions see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

CORRIGENDUM TO TEXT ADOPT RULE DESC-204A SEE MINUTE,corrigendum to a text adopted rule 204a see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

DESC-ORAL QUESTION AND WRITE DECLARATION TABLE SEE MINUTE,oral questions and written declarations tabling see minutes

LAPSE WRITE DECLARATION SEE MINUTE,lapsed written declarations see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE,action taken on parliament's resolutions see minutes

PETITION SEE MINUTE,petitions see minutes

MEMBERSHIP DESC-POLITICAL GROUP SEE MINUTE,membership of political groups see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.00 DESC-A.M.,the sitting was opened at 9.00 a.m.

DRAFT DESC-GENERAL BUDGET FOR 2008 DESC-FINANCIAL YEAR DEADLINE FOR TABLE DRAFT AMENDMENT SEE MINUTE,draft general budget for the 2008 financial year deadline for tabling draft amendments see minutes

PARTICIPATION BULGARIUM AND ROMANIUM IN EUROPEAN DESC-ECONOMIC AREA VOTE,participation of bulgaria and romania in the european economic area vote

REPORT MARKOV,report markov

EC UKRAINE AGREEMENT DESC-SHORT STAY VISA VOTE,ec / ukraine agreement short stay visas vote

REPORT KUDRYCKA,report kudrycka

EC UKRAINE AGREEMENT READMISSION VOTE,ec / ukraine agreement readmission vote

REPORT KUDRYCKA,report kudrycka

EC MOLDOVA AGREEMENT DESC-SHORT STAY VISA VOTE,ec / moldova agreement short stay visas vote

REPORT MARINESCU,report marinescu

EC MOLDOVA AGREEMENT READMISSION VOTE,ec / moldova agreement readmission vote

REPORT MARINESCU,report marinescu

DATUM IN FISHERY SECTOR AND DESC-SCIENTIFIC ADVICE REGARD DESC-COMMON FISHERY POLICY VOTE,data in the fisheries sector and scientific advice regarding the common fisheries policy vote

REPORT CASACA,report casaca

STATUTE FOR EURATOM SUPPLY AGENCY VOTE,statutes for the euratom supply agency vote

REPORT JORDAN CIZELJ,report jordan cizelj

ROLE SPORT IN EDUCATION VOTE,the role of sport in education vote

REPORT SCHMITT,report schmitt

DESC-MATIC STRATEGY FOR SOIL PROTECTION VOTE,thematic strategy for soil protection vote

REPORT PRODUS,report prodi

SIT BE SUSPEND AT 11.55 AND RESUME AT 12.00,the sitting was suspended at 11.55 and resumed at 12.00

REPORT LIESE,report liese

VOTE TIME CONTINUE,voting time continued

FOR RESULT AND DESC-OR DETAIL ON VOTE SEE MINUTE,for the results and other details on the vote see minutes

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 13.15 AND RESUME AT 15.00,the sitting was suspended at 13.15 and resumed at 15.00

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE DECLARATION TABLE SEE MINUTE,written declarations tabling see minutes

MEMBERSHIP DESC-POLITICAL GROUP SEE MINUTE,membership of political groups see minutes

SIT BE SUSPEND AT 19.50 AND RESUME AT 21.05,the sitting was suspended at 19.50 and resumed at 21.05

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.45 DESC-P.M.,the sitting was closed at 11.45 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9 DESC-A.M.,the sitting was opened at 9 a.m.

DESC-REGIONAL IMPACT EARTHQUAKE VOTE,the regional impact of earthquakes vote

REPORT NIKOLAO VAKALI,report nikolaos vakalis

EUROPEAN UNION AND DESC-HUMANITARIAN AID VOTE,the european union and humanitarian aid vote

REPORT THIERRY CORNILLET,report thierry cornillet

PROTECTION SOIL VOTE,protection of soil vote

REPORT CRISTINA GUTIà?RREZ DESC-CORTINE,report cristina gutiérrez cortines

REPORT PERVENCHE BERà?X-S,report pervenche berès

CAPITAL ADEQUACY INVESTMENT FIRM AND CREDIT INSTITUTION IMPLEMENT POWER CONFER ON COMMISSION VOTE,capital adequacy of investment firms and credit institutions implementing powers conferred on the commission vote

REPORT PERVENCHE BERà?X-S,report pervenche berès

REPORT PERVENCHE BERà?X-S,report pervenche berès

LIFE ASSURANCE IMPLEMENT POWER CONFER ON COMMISSION VOTE,life assurance implementing powers conferred on the commission vote

REPORT PERVENCHE BERà?X-S,report pervenche berès

REPORT PERVENCHE BERà?X-S,report pervenche berès

INSIDER DEAL AND MARKET MANIPULATION IMPLEMENT POWER CONFER ON COMMISSION VOTE,insider dealing and market manipulation implementing powers conferred on the commission vote

REPORT PERVENCHE BERà?X-S,report pervenche berès

